effect,group,term,estimate,std.error,statistic,df,p.value,warnings,n_subj,n_ingroup,n_outgroup,beta_0,beta_1,omega_0,tau_0,tau_1,rho,sigma
ran_pars,subj_id,sd__(Intercept),92.33890789222549,NA,NA,NA,NA,,50,10,10,800,50,20,100,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.08147995815715146,NA,NA,NA,NA,,50,10,10,800,50,20,100,40,0.2,200
ran_pars,subj_id,sd__X_i,46.06320519899618,NA,NA,NA,NA,,50,10,10,800,50,20,100,40,0.2,200
ran_pars,item_id,sd__(Intercept),27.64148159416264,NA,NA,NA,NA,,50,10,10,800,50,20,100,40,0.2,200
ran_pars,Residual,sd__Observation,198.5222715928429,NA,NA,NA,NA,,50,10,10,800,50,20,100,40,0.2,200
fixed,NA,(Intercept),804.8468594326287,10.072382561421051,79.90630365007479,20.421150667578047,5.6472305821655534e-27,,50,10,10,800,50,40,20,40,0.2,200
fixed,NA,X_i,40.233130888902906,20.170347291725527,1.9946672363647266,20.50382295810095,0.05954351978602803,,50,10,10,800,50,40,20,40,0.2,200
ran_pars,subj_id,sd__(Intercept),18.05825820656141,NA,NA,NA,NA,,50,10,10,800,50,40,20,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,0.3001926811944782,NA,NA,NA,NA,,50,10,10,800,50,40,20,40,0.2,200
ran_pars,subj_id,sd__X_i,36.823500085360884,NA,NA,NA,NA,,50,10,10,800,50,40,20,40,0.2,200
ran_pars,item_id,sd__(Intercept),32.65448366755061,NA,NA,NA,NA,,50,10,10,800,50,40,20,40,0.2,200
ran_pars,Residual,sd__Observation,203.99782227956578,NA,NA,NA,NA,,50,10,10,800,50,40,20,40,0.2,200
fixed,NA,(Intercept),812.1483747215242,12.552510564317934,64.70007498182527,34.72291265396846,8.617232615436044e-38,,50,10,10,800,50,40,40,40,0.2,200
fixed,NA,X_i,76.31397651791556,20.124959537628616,3.792006457216851,18.533755526009386,0.0012780309770245952,,50,10,10,800,50,40,40,40,0.2,200
ran_pars,subj_id,sd__(Intercept),53.22347867264272,NA,NA,NA,NA,,50,10,10,800,50,40,40,40,0.2,200
ran_pars,subj_id,cor__(Intercept).X_i,-0.6888449184687102,NA,NA,NA,NA,,50,10,10,800,50,40,40,40,0.2,200
ran_pars,subj_id,sd__X_i,8.279508087180927,NA,NA,NA,NA,,50,10,10,800,50,40,40,40,0.2,200
ran_pars,item_id,sd__(Intercept),34.55080546650092,NA,NA,NA,NA,,50,10,10,800,50,40,40,40,0.2,200
ran_pars,Residual,sd__Observation,203.03408558113765,NA,NA,NA,NA,,50,10,10,800,50,40,40,40,0.2,200
